,0,1
0,[BH0|-]----,48
1,[BrH0|-],29
2,[CH0|-]#,4
3,[CH0|-]---,1
4,[CH0|]-#,25
5,[CH0|]----,219
6,[CH0|]--=,59
7,[CH1|]---,6
8,[CH1|]-=,29
9,[CH2|]--,1798
10,[CH3|]-,691
11,[ClH0|-],92
12,[CoH0|],1
13,[FH0|]-,911
14,[IH0|-],9
15,[NH0|+]----,113
16,[NH0|+]--=,2
17,[NH0|-]--,85
18,[NH0|]#,25
19,[NH0|]---,12
20,[NH0|]-=,2
21,[NH1|+]---,8
22,[NH1|]--,1
23,[NH2|+]--,6
24,[NH2|]-,3
25,[NH3|+]-,3
26,[OH0|+]#,4
27,[OH0|-]-,65
28,[OH0|]--,148
29,[OH0|]=,433
30,[OH1|]-,76
31,[PH0|+]----,4
32,[PH0|-]------,24
33,[PH0|]---=,1
34,[SH0|+]---,2
35,[SH0|-]-,1
36,[SH0|]--==,188
37,[cH0|]***,10
38,[cH0|]-**,127
39,[cH1|]**,1015
40,[nH0|+]-**,216
41,[nH0|]-**,127
